,accuracy,false_negatives,loss,precision,recall,true_positives,val_accuracy,val_false_negatives,val_loss,val_precision,val_recall,val_true_positives
0,0.935718834400177,406.0,0.1763295829296112,0.935718834400177,0.935718834400177,5910.0,0.9692898392677307,16.0,0.06713851541280746,0.9692898392677307,0.9692898392677307,505.0
1,0.9648512005805969,222.0,0.09536299854516983,0.9648512005805969,0.9648512005805969,6094.0,0.9712092280387878,15.0,0.06658124178647995,0.9712092280387878,0.9712092280387878,506.0
2,0.9745091795921326,161.0,0.07187873125076294,0.9745091795921326,0.9745091795921326,6155.0,0.9750480055809021,13.0,0.07722325623035431,0.9750480055809021,0.9750480055809021,508.0
3,0.9802089929580688,125.0,0.058866776525974274,0.9802089929580688,0.9802089929580688,6191.0,0.9788867831230164,11.0,0.061670005321502686,0.9788867831230164,0.9788867831230164,510.0
4,0.9791007041931152,132.0,0.05815665051341057,0.9791007041931152,0.9791007041931152,6184.0,0.9865642786026001,7.0,0.042117271572351456,0.9865642786026001,0.9865642786026001,514.0
5,0.9860671162605286,88.0,0.041727837175130844,0.9860671162605286,0.9860671162605286,6228.0,0.9788867831230164,11.0,0.08704864233732224,0.9788867831230164,0.9788867831230164,510.0
6,0.9863837957382202,86.0,0.037446070462465286,0.9863837957382202,0.9863837957382202,6230.0,0.9808061122894287,10.0,0.05610250309109688,0.9808061122894287,0.9808061122894287,511.0
7,0.9832172393798828,106.0,0.04594317078590393,0.9832172393798828,0.9832172393798828,6210.0,0.9750480055809021,13.0,0.06214786320924759,0.9750480055809021,0.9750480055809021,508.0
8,0.9876503944396973,78.0,0.03885740414261818,0.9876503944396973,0.9876503944396973,6238.0,0.9808061122894287,10.0,0.0626472756266594,0.9808061122894287,0.9808061122894287,511.0
9,0.9901836514472961,62.0,0.03278999775648117,0.9901836514472961,0.9901836514472961,6254.0,0.9808061122894287,10.0,0.06679480522871017,0.9808061122894287,0.9808061122894287,511.0
10,0.9905003309249878,60.0,0.028272714465856552,0.9905003309249878,0.9905003309249878,6256.0,0.9788867831230164,11.0,0.07275094091892242,0.9788867831230164,0.9788867831230164,510.0
11,0.9876503944396973,78.0,0.03176764398813248,0.9876503944396973,0.9876503944396973,6238.0,0.9884836673736572,6.0,0.04804963245987892,0.9884836673736572,0.9884836673736572,515.0
12,0.9909753203392029,57.0,0.025314029306173325,0.9909753203392029,0.9909753203392029,6259.0,0.984644889831543,8.0,0.06451210379600525,0.984644889831543,0.984644889831543,513.0
13,0.9930335879325867,44.0,0.01993342489004135,0.9930335879325867,0.9930335879325867,6272.0,0.9808061122894287,10.0,0.06475967913866043,0.9808061122894287,0.9808061122894287,511.0
14,0.9911336302757263,56.0,0.020266063511371613,0.9911336302757263,0.9911336302757263,6260.0,0.984644889831543,8.0,0.05644603818655014,0.984644889831543,0.984644889831543,513.0
15,0.9933502078056335,42.0,0.01883542537689209,0.9933502078056335,0.9933502078056335,6274.0,0.9827255010604858,9.0,0.06580781936645508,0.9827255010604858,0.9827255010604858,512.0
16,0.9935085773468018,41.0,0.021342890337109566,0.9935085773468018,0.9935085773468018,6275.0,0.984644889831543,8.0,0.06691086292266846,0.984644889831543,0.984644889831543,513.0
17,0.9936668872833252,40.0,0.019435200840234756,0.9936668872833252,0.9936668872833252,6276.0,0.9808061122894287,10.0,0.06213371455669403,0.9808061122894287,0.9808061122894287,511.0
18,0.9943001866340637,36.0,0.017277533188462257,0.9943001866340637,0.9943001866340637,6280.0,0.9827255010604858,9.0,0.06428536772727966,0.9827255010604858,0.9827255010604858,512.0
19,0.9950918555259705,31.0,0.016064712777733803,0.9950918555259705,0.9950918555259705,6285.0,0.9865642786026001,7.0,0.04452366754412651,0.9865642786026001,0.9865642786026001,514.0
20,0.9935085773468018,41.0,0.02003006637096405,0.9935085773468018,0.9935085773468018,6275.0,0.9808061122894287,10.0,0.06444244086742401,0.9808061122894287,0.9808061122894287,511.0
21,0.9944584965705872,35.0,0.014226432889699936,0.9944584965705872,0.9944584965705872,6281.0,0.984644889831543,8.0,0.054317694157361984,0.984644889831543,0.984644889831543,513.0
22,0.9949334859848022,32.0,0.014513049274682999,0.9949334859848022,0.9949334859848022,6284.0,0.9884836673736572,6.0,0.05378829687833786,0.9884836673736572,0.9884836673736572,515.0
23,0.9968334436416626,20.0,0.009381858631968498,0.9968334436416626,0.9968334436416626,6296.0,0.984644889831543,8.0,0.06643299013376236,0.984644889831543,0.984644889831543,513.0
24,0.9954084753990173,29.0,0.012076248414814472,0.9954084753990173,0.9954084753990173,6287.0,0.9865642786026001,7.0,0.07234373688697815,0.9865642786026001,0.9865642786026001,514.0
25,0.9943001866340637,36.0,0.018221406266093254,0.9943001866340637,0.9943001866340637,6280.0,0.9827255010604858,9.0,0.06579570472240448,0.9827255010604858,0.9827255010604858,512.0
26,0.9950918555259705,31.0,0.014796402305364609,0.9950918555259705,0.9950918555259705,6285.0,0.9884836673736572,6.0,0.046149153262376785,0.9884836673736572,0.9884836673736572,515.0
27,0.9952501654624939,30.0,0.01421006303280592,0.9952501654624939,0.9952501654624939,6286.0,0.9884836673736572,6.0,0.04405604675412178,0.9884836673736572,0.9884836673736572,515.0
28,0.995725154876709,27.0,0.009813840501010418,0.995725154876709,0.995725154876709,6289.0,0.984644889831543,8.0,0.054380863904953,0.984644889831543,0.984644889831543,513.0
29,0.9955667853355408,28.0,0.014611509628593922,0.9955667853355408,0.9955667853355408,6288.0,0.9827255010604858,9.0,0.06056053191423416,0.9827255010604858,0.9827255010604858,512.0
